Metric ID,Metric Category,Metric Name,Symbol,Mathematical Equation,Unit,Optimization Direction,Interpretation,Normalization Method,Data Required,Contribution to EVI,Campus Food Example,Simulation Placeholder
K18,Recommendation Performance,Recommendation Acceptance Rate,RAR(t),"RAR(t)=AcceptedRecommendations(t)/max(IssuedRecommendations(t),1)",0–1 normalized score,Maximize,Fraction of MSRS recommendations accepted by stakeholders,Already normalized,Issued and accepted recommendations,Indicates adoption quality of PUDAL/MSRS coordination,Vendor accepts production recommendation when expected benefit is credible,[to be computed]
K19,Recommendation Performance,Recommendation Benefit Realization,RBR(t),"RBR(t)=(ObservedMetricAfterRec(t)-ExpectedNoRecMetric(t))/max(ExpectedNoRecMetric(t),ε)",relative improvement,Maximize,Observed improvement attributable to accepted recommendations,"Normalize relative improvement to [0,1] if used in EVI","Counterfactual baseline, observed outcome, recommendation log",Measures value added by MSRS,Waste falls after vendors accept production recommendations,[future extension]
K20,Learning and Prediction,Demand Forecast Error,ε_D(t),"ε_D(t)=|D_hat(t)-D(t)|/max(D(t),1)",0–1 normalized error,Minimize,Relative error between predicted and actual demand,"ForecastAccuracy(t)=1-min(ε_D(t),1)","Predicted demand, actual demand",Indirectly affects recommendation quality and waste/shortage reduction,AI forecasting upgrade should reduce demand forecast error,[to be computed]
K21,Learning and Prediction,Policy Improvement Rate,PIR(t),PIR(t)=EVI_policy(t)-EVI_policy(t-1),EVI change per time step,Maximize,Improvement in policy performance over time due to PUDAL learning,Can be averaged over time or normalized by initial EVI,EVI time series by policy,"Learning quality indicator, not always direct EVI component",Adaptive policy improves after observing repeated lunch surges,[future adaptive-learning version]
K22,Resilience and Robustness,Resilience Score,Resilience,"Resilience=1-Σ_t|Perf_normal(t)-Perf_shock(t)|/max(Σ_t Perf_normal(t),ε)",0–1 normalized score,Maximize,Ability to maintain performance under disruption,"Clamp to [0,1]","Normal performance trajectory, shock performance trajectory",Resilience component of scenario evaluation,MOEE should preserve higher EVI during multi-shock crisis,[to be computed]
K23,Resilience and Robustness,Recovery Time,T_recovery,T_recovery=min{t: Perf(t)≥τ*Perf_normal(t)} after shock,time steps,Minimize,Time required to recover to acceptable performance after disruption,"RecoveryScore=1-min(T_recovery/T_max,1)","Performance trajectory, shock timing, recovery threshold τ",Robustness and resilience evaluation,Vendor failure recovery is faster if demand is redistributed quickly,[to be computed in shock experiments]
K24,Resilience and Robustness,Robustness Index,RI_k,RI_k=α*mean(EVI_k)+β*min(EVI_k)-γ*var(EVI_k),normalized policy score,Maximize,"Evaluates policy k across multiple scenarios using average, worst-case, and variance",Normalize RI across policies for final ranking,EVI values for each policy across scenarios,"Used for selecting best MSRS policy, not a per-step EVI component",Balanced-EVI policy may have the best robustness across disruptions,[to be computed in Table 20]
K25,Fairness and Governance,Vendor Profit Fairness,Fair_vendor(t),"Fair_vendor(t)=1-Gini(Π_1(t),...,Π_V(t))",0–1 normalized score,Maximize,Degree to which vendor benefits are fairly distributed,1 minus Gini coefficient,Vendor profits,"Governance, fairness, and long-term participation",Recommendation system should not send all demand to one vendor only,[future extension]
K26,Fairness and Governance,Student Access Fairness,Fair_student(t),"Fair_student(t)=1-Gini(AccessScore_1(t),...,AccessScore_G(t))",0–1 normalized score,Maximize,Fairness of food access across student groups or locations,1 minus Gini coefficient,"Access scores by student group, location, or income group",Fairness and mission legitimacy,Scholarship students should retain affordable access under inflation,[future extension]
K27,Fairness and Governance,Compliance Rate,Compliance(t),"Compliance(t)=CompliantActions(t)/max(TotalAuditedActions(t),1)",0–1 normalized score,Maximize,"Fraction of audited actions satisfying regulatory, safety, fairness, and environmental constraints",Already normalized,"Audited actions, compliance results","Governance, trust, and risk-reduction component",Vendors comply with hygiene and labeling rules,[future extension]
K28,Supply and Logistics,Supply Reliability,SR(t),"SR(t)=OnTimeDeliveries(t)/max(RequiredDeliveries(t),1)",0–1 normalized score,Maximize,Reliability of supplier delivery relative to vendor requirements,"Already normalized; clamp to [0,1]","Required deliveries, on-time deliveries",Supports resilience and vendor readiness,Supply chain disruption lowers supplier reliability,[to be computed in expanded supply model]
K29,Supply and Logistics,Delivery Reliability,DR(t),"DR(t)=CompletedDeliveriesOnTime(t)/max(RequestedDeliveries(t),1)",0–1 normalized score,Maximize,Reliability of delivery service under online and MOEE models,"Already normalized; clamp to [0,1]","Requested deliveries, completed on-time deliveries","Convenience, satisfaction, and resilience component",Extreme weather lowers delivery reliability,[future delivery model]
K30,Aggregate Ecosystem Value,Ecosystem Value Index,EVI(t),EVI(t)=ω1*Fulfillment(t)+ω2*MA(t)+ω3*SI(t)+ω4*Sat(t)+ω5*Profitability(t)+ω6*WRS(t)+ω7*Resilience(t),0–1 normalized score,Maximize,"Composite ecosystem performance index integrating operational, mission, sustainability, welfare, financial, and resilience dimensions",Weighted aggregation of normalized metrics; Σω=1,All EVI component metrics,Primary final evaluation metric,MOEE is superior if it increases average EVI and improves worst-case EVI under disruptions,[primary result]
