Scenario ID,Scenario Name,Disturbance Type,Description,Disturbance Magnitude,Affected Stakeholders,Expected Consequences,Key State Variables,Recovery Objective,Difficulty Level,Primary Metrics,MSRS / PUDAL Response,Campus Food Example,Simulation Placeholder
S10,Food Safety Incident,Trust and regulation shock,Food safety issue reduces trust and triggers regulatory intervention,Affected vendor demand -40% to -90%; inspection intensity +50%,"Vendors, Students, University, Regulator, Operator","Demand shift, reputational damage, compliance cost, vendor suspension risk",trust_multiplier=0.10–0.60; regulatory_intensity=1.50,"Restore safety, trust, and service continuity",High,"Trust score, compliance rate, satisfaction, vendor viability, EVI","Redirect demand, trigger inspection, recommend corrective action, monitor trust recovery",A vendor receives repeated hygiene complaints,[to be simulated]
S11,New Vendor Entry,Structural change,"A new vendor enters the ecosystem, increasing capacity and menu diversity",Capacity +10% to +30%,"Vendors, Students, Suppliers, University, Operator","More competition, changed demand distribution, possible lower queues",vendor_count+1; capacity_multiplier=1.10–1.30,Integrate new vendor while preserving fairness and viability,Medium,"Demand distribution, vendor profit, satisfaction, menu diversity",Rebalance student recommendations and supplier allocation,Healthy-food vendor opens on campus,[to be simulated]
S12,Vendor Exit,Structural capacity loss,A vendor leaves the ecosystem permanently or temporarily,Capacity -10% to -30%,"Students, Vendors, Suppliers, University, Operator","Lower diversity, reduced capacity, demand redistribution, supplier contract adjustment",vendor_count-1; capacity_multiplier=0.70–0.90,Maintain service level and prevent overload of remaining vendors,Medium-High,"Fulfillment, queue time, vendor utilization, satisfaction","Redistribute demand, identify replacement vendor, adjust supplier plans",Vendor_B closes at end of semester,[to be simulated]
S13,Nutrition Policy,Policy intervention,University introduces minimum nutrition or healthy-menu requirements,Nutrition target +10% to +30%; cost +5% to +20%,"Students, Vendors, Suppliers, University",Improved nutrition but possible cost increase and menu adaptation burden,nutrition_target=0.70–0.90; cost_multiplier=1.05–1.20,Improve nutrition without reducing affordability or vendor viability,Medium,"Nutrition score, affordability, profit, satisfaction, mission achievement","Recommend healthy menu mix, subsidy, supplier adjustment",University requires healthier meal options,[to be simulated]
S14,Plastic Ban,Environmental policy intervention,Single-use plastic packaging is restricted or banned,Packaging cost +5% to +25%; plastic waste -50% to -90%,"Vendors, Delivery, Students, University, Regulator","Lower plastic waste, higher packaging cost, operational adjustment",packaging_cost_multiplier=1.05–1.25; plastic_waste_multiplier=0.10–0.50,Reduce environmental impact while preserving service efficiency,Medium,"Sustainability, waste reduction, affordability, vendor profit","Recommend reusable packaging, menu packaging redesign, subsidy if needed",Campus prohibits single-use plastic containers,[to be simulated]
S15,Carbon Tax,Environmental cost shock,"Carbon-related costs are applied to logistics, energy use, or food sourcing",Emission cost +10% to +40%,"Suppliers, Delivery, Vendors, University","Higher operating cost, incentive for low-emission routing and sourcing",emission_cost_multiplier=1.10–1.40,Reduce carbon impact while maintaining affordability and service reliability,Medium-High,"CO2 proxy, sustainability, affordability, profit, EVI","Recommend low-carbon suppliers, route optimization, menu substitution",Delivery and sourcing routes are penalized for high emissions,[to be simulated]
S16,Scholarship Meal Expansion,Welfare policy intervention,University expands meal support for low-income students,Subsidized demand +10% to +40%,"Students, Vendors, University, Operator","Improved affordability and welfare, increased demand, subsidy budget pressure",subsidy_multiplier=1.10–1.40; demand_multiplier=1.05–1.25,Improve equity while maintaining budget and vendor viability,Medium,"Affordability, equity proxy, mission achievement, budget use, EVI",Recommend targeted subsidies and production planning,University provides meal vouchers to scholarship students,[to be simulated]
S17,Preference Shift,Behavioral demand shift,"Students shift preference toward healthier, cheaper, faster, or trending meals",Vendor demand share shift ±10% to ±40%,"Students, Vendors, Suppliers, Operator","Unbalanced vendor utilization, menu mismatch, potential waste in unpopular items",preference_weight_change=0.10–0.40,Adapt menu and production to new demand patterns,Medium,"Demand forecast accuracy, waste, satisfaction, vendor utilization","Update menu recommendation, vendor production, and supplier allocation",Students suddenly prefer healthy bowls over fried meals,[to be simulated]
S18,Extreme Weather,Environmental disruption,"Heavy rain or extreme heat changes mobility, demand, delivery, and supply reliability",On-site demand -10% to -40%; delivery demand +20% to +80%; logistics capacity -10% to -30%,"Students, Delivery, Vendors, Suppliers","More delivery requests, supply delay, lower walk-in demand, route congestion",walkin_demand_multiplier=0.60–0.90; delivery_demand_multiplier=1.20–1.80,Maintain access and reduce delay during environmental disruption,Medium-High,"Delivery reliability, satisfaction, fulfillment, resilience",Shift to delivery-aware recommendations and route planning,Heavy rain reduces canteen visits but increases food delivery demand,[to be simulated]
S19,AI Forecasting Upgrade,Technology intervention,Improved forecasting model is introduced into the operator layer,Forecast error -10% to -40%,"Operator, Vendors, Suppliers, University","Better production planning, reduced waste and shortage, higher trust in MSRS",forecast_error_multiplier=0.60–0.90; trust_multiplier=1.05–1.20,Improve recommendation accuracy and stakeholder acceptance,Low-Medium,"Prediction accuracy, waste reduction, acceptance rate, EVI",Use improved forecast in PUDAL Understanding stage,AI model predicts lunch demand more accurately from calendar and weather data,[to be simulated]
S20,Multi-Shock Crisis,Compound disruption,"Demand surge, cost increase, supply reduction, and capacity loss occur together",Demand +25%; cost +30%; supply -30%; capacity -20%,All stakeholders,"High shortage risk, affordability stress, vendor margin pressure, coordination burden",demand_multiplier=1.25; cost_multiplier=1.30; supply_multiplier=0.70; capacity_multiplier=0.80,"Preserve essential service, mission achievement, and resilience under systemic stress",Very High,"Robustness index, EVI, resilience, mission achievement, shortage, affordability","Activate balanced-EVI policy, prioritize essential meals, recommend subsidy, synchronize production and supply","Exam week coincides with inflation, supplier delay, and vendor equipment failure",[to be simulated]
