Parameter Group,Parameter Name,Symbol,Definition,Unit,Default Value / Placeholder,Allowable Range,Applies To,Calibration / Data Source,Role in Model,Notes
Waste,Raw waste,W(t),Total food waste generated by the ecosystem,meals or kg/time step,W(t)=Σ_v ρ_waste*L_v(t),W(t) ≥ 0,Sustainability and EVI,Waste audit or simulation output,Measures environmental inefficiency,Can be converted to kg or CO2 equivalent
Nutrition,Vendor nutrition score,n_v,Average nutrition quality of meals provided by vendor v,0–1 normalized score,Vendor_A=0.72; Vendor_B=0.62; Vendor_C=0.82,0 ≤ n_v ≤ 1,Student value and mission achievement,Nutrition assessment or menu analysis,Determines average ecosystem nutrition,Can be affected by nutrition policy
Nutrition,Nutrition target,G_nutrition,Minimum or desired ecosystem-level nutrition score,0–1 normalized target,0.75,0 ≤ G_nutrition ≤ 1,Mission goals and MSRS constraints,University or health policy,Sets nutrition component of mission achievement,Can increase under nutrition policy scenario
Satisfaction,Waiting time coefficient,β_wait,Penalty applied to student satisfaction for waiting time,utility/minute or normalized coefficient,[to be calibrated],β_wait ≤ 0,Student satisfaction,Survey or observed queue behavior,Translates queue delay into satisfaction loss,Important for hourly queue simulation
Satisfaction,Affordability weight,w_afford,Weight of affordability in student satisfaction or EVI,dimensionless,[to be specified],0 ≤ w_afford ≤ 1,Student utility and EVI,Policy preference or survey,Determines importance of price relative to other benefits,Weights should sum appropriately within utility function
Satisfaction,Convenience weight,w_conv,Weight of convenience in student satisfaction,dimensionless,[to be specified],0 ≤ w_conv ≤ 1,Student utility,Survey or behavioral data,"Determines effect of distance, delivery, and time saving",Can increase under extreme weather scenario
Recommendation,Recommendation acceptance probability,P_accept_i(t),Probability that stakeholder i accepts an MSRS recommendation,probability,computed by acceptance model,0 ≤ P_accept_i(t) ≤ 1,MOEE / TISE model,Behavioral data or assumed trust model,Determines whether recommendations affect mission intensity,"Depends on trust, benefit, cost, and autonomy"
Recommendation,Stakeholder trust,Trust_i,"Trust of stakeholder i in the operator, PUDAL, or MSRS recommendation",0–1 normalized score,0.75,0 ≤ Trust_i ≤ 1,Recommendation acceptance,Survey or adoption data,Affects acceptance probability,Can change through PUDAL learning
Recommendation,Stakeholder autonomy,Autonomy_i,Degree to which stakeholder i resists external recommendations,0–1 normalized score,0.50,0 ≤ Autonomy_i ≤ 1,Recommendation acceptance,Behavioral assumption or survey,Higher autonomy lowers acceptance likelihood,Important for realistic multi-agent behavior
Recommendation,Expected benefit coefficient,β_benefit,Effect of expected benefit on recommendation acceptance,dimensionless coefficient,[to be calibrated],β_benefit ≥ 0,Acceptance model,Estimated from behavioral response,Converts expected gain into adoption probability,Part of stakeholder acceptance equation
Recommendation,Implementation cost coefficient,γ_cost,Effect of implementation cost on recommendation acceptance,dimensionless coefficient,[to be calibrated],γ_cost ≥ 0,Acceptance model,Estimated from behavioral response,Converts effort or cost into adoption penalty,Important for vendor and supplier recommendations
PUDAL / Learning,EVI metric weights,ω_k,Weights used to aggregate normalized metrics into EVI,dimensionless,Σ_k ω_k = 1,0 ≤ ω_k ≤ 1,Metrics Engine and MSRS decision,Policy priority or expert elicitation,Determines trade-offs in ecosystem value,Sensitivity analysis recommended
PUDAL / Learning,Learning rate,α_learn,Rate at which PUDAL updates policy or model parameters after observing outcomes,dimensionless,[future version],0 ≤ α_learn ≤ 1,PUDAL Learning stage,Algorithm design,Controls adaptation speed,v0.1 logs outcomes but does not yet perform adaptive learning
PUDAL / Learning,Prediction error,ε_pred(t),Difference between predicted and realized demand or performance,meals or normalized error,[to be computed],ε_pred(t) ≥ 0,Understanding and Learning stages,Simulation output,Measures forecasting quality,Used for AI forecasting upgrade scenario
Scenario,Capacity multiplier,μ_cap,Scenario-specific multiplier applied to available operating capacity,dimensionless,1.00,μ_cap ≥ 0,Scenario engine,Scenario design,"Models vendor failure, pandemic, or equipment failure",Vendor failure may use μ_cap = 0.60–0.80
Scenario,Platform availability,A_platform(t),Availability of the online ordering or coordination platform,0–1 normalized availability,1.00,0 ≤ A_platform(t) ≤ 1,Online and MOEE models,Platform uptime logs or scenario design,Models power or internet outage,Not fully implemented in v0.1
Scenario,Regulatory intensity,I_reg(t),"Intensity of regulatory inspection, constraint, or enforcement",0–1 or multiplier,1.00,I_reg(t) ≥ 0,Regulator and compliance model,Regulatory scenario design,Affects compliance and vendor constraints,Increases during food safety incident
Output Metrics,Fulfillment,Fulfillment(t),Fraction of demand served by the ecosystem,0–1 normalized score,served(t)/demand(t),0 ≤ Fulfillment(t) ≤ 1,Metrics engine,Simulation output,Measures service completion,A key component of EVI
Output Metrics,Mission achievement,MA(t),Composite measure of how well ecosystem mission targets are achieved,0–1 normalized score,weighted metric aggregation,0 ≤ MA(t) ≤ 1,Metrics engine,Computed from simulation metrics,Measures mission success,"Includes fulfillment, nutrition, satisfaction, and sustainability"
Output Metrics,Ecosystem Value Index,EVI(t),Weighted composite index of ecosystem performance,0–1 normalized score,EVI(t)=Σ_k ω_k Metric_k(t),0 ≤ EVI(t) ≤ 1,All model comparison,Computed metric,Primary performance comparison metric,Used for policy ranking and robustness analysis
Output Metrics,Robustness index,RI_k,Aggregate robustness score of policy k across scenarios,0–1 normalized score,RI_k=α*mean(EVI_k)+β*worst(EVI_k)-γ*var(EVI_k),case-dependent,Policy ranking,Scenario experiment results,Ranks MSRS policies across disruptions,Used in Table 20
